Component,A_Block_Temp_C,B_Block_Temp_C,A_Grid_Temp_C,B_Grid_Temp_C
CPU0,70.08,72.11,67.31,70.14
CPU1,71.78,72.26,66.92,68.68
L1D_0,87.64,95.85,74.88,75.23
L1D_1,99.21,100.14,72.31,73.69
L1I_0,82.48,89.58,76.27,76.27
L1I_1,93.53,94.46,69.52,73.28
L2,63.28,61.62,61.27,62.23
MemCtrl,57.37,55.67,56.61,56.20
hsink_CPU0,48.97,50.06,48.98,49.15
hsink_CPU1,49.41,50.23,48.94,49.21
hsink_L1D_0,49.22,49.99,49.16,49.16
hsink_L1D_1,49.98,50.82,49.03,49.21
hsink_L1I_0,49.09,49.72,49.05,49.06
hsink_L1I_1,49.98,50.82,49.13,49.23
hsink_L2,49.33,49.14,49.12,49.01
hsink_MemCtrl,48.82,47.88,48.84,48.71
hsp_CPU0,53.14,54.87,52.16,53.15
hsp_CPU1,54.19,55.34,51.98,53.08
hsp_L1D_0,54.17,56.57,52.78,53.09
hsp_L1D_1,58.09,59.12,52.03,52.91
hsp_L1I_0,53.44,55.08,52.69,52.82
hsp_L1I_1,57.88,58.92,52.07,53.11
hsp_L2,52.81,52.01,51.83,51.98
hsp_MemCtrl,50.81,49.34,50.68,50.54
iface_CPU0,66.90,68.88,64.46,66.96
iface_CPU1,68.48,69.09,64.12,65.75
iface_L1D_0,81.36,88.48,70.72,71.07
iface_L1D_1,91.50,92.44,68.49,69.78
iface_L1I_0,77.03,83.11,71.84,71.87
iface_L1I_1,86.85,87.80,66.24,69.49
iface_L2,61.32,59.82,59.50,60.31
iface_MemCtrl,56.14,54.48,55.50,55.14
inode_0,47.68,48.57,47.82,48.06
inode_1,47.98,47.68,47.93,47.92
inode_10,47.26,46.36,47.16,46.99
inode_11,47.31,47.75,47.31,47.32
inode_2,47.99,46.80,47.85,47.63
inode_3,48.05,48.65,48.05,48.07
inode_4,47.66,48.54,47.80,48.03
inode_5,47.95,47.66,47.91,47.90
inode_6,47.96,46.79,47.83,47.62
inode_7,48.03,48.62,48.02,48.05
inode_8,47.03,47.70,47.14,47.31
inode_9,47.26,47.03,47.22,47.21
